#                      z                      J_c                      J_i
4.000000000000000000e+01 1.307816640909727264e-08 8.588725089232609885e-09
3.989999999999999858e+01 1.445969818348263239e-08 9.463685549568151593e-09
3.979999999999999716e+01 1.598444035166287785e-08 1.042570073567864147e-08
3.969999999999999574e+01 1.766690394681211239e-08 1.148318556490219780e-08
3.959999999999999432e+01 1.952303048603053111e-08 1.264533993314882884e-08
3.949999999999999289e+01 2.157032834796209683e-08 1.392221875390257521e-08
3.939999999999999147e+01 2.382802162595480040e-08 1.532480789879990971e-08
3.929999999999999005e+01 2.631721412014930620e-08 1.686511067360070911e-08
3.919999999999998863e+01 2.906108140360708064e-08 1.855627617155543213e-08
3.909999999999998721e+01 3.208506420020504457e-08 2.041269565668837594e-08
3.899999999999998579e+01 3.541707623865340878e-08 2.245009618786270285e-08
3.889999999999998437e+01 3.908774971061678405e-08 2.468564627903061238e-08
3.879999999999998295e+01 4.313069234570820442e-08 2.713808367297869583e-08
3.869999999999998153e+01 4.758275898142775964e-08 2.982786388827958073e-08
3.859999999999998010e+01 5.248435112343078396e-08 3.277730401994936025e-08
3.849999999999997868e+01 5.787974608148189400e-08 3.601074295861904392e-08
3.839999999999997726e+01 6.381746164568994635e-08 3.955472639093909464e-08
3.829999999999997584e+01 7.035067124002473554e-08 4.343823934840336700e-08
3.819999999999997442e+01 7.753765581506450281e-08 4.769295682897559598e-08
3.809999999999997300e+01 8.544225424071196695e-08 5.235343886400972389e-08
3.799999999999997158e+01 9.413436207269444936e-08 5.745731321617180797e-08
3.789999999999997016e+01 1.036904680988266040e-07 6.304543194111135631e-08
3.779999999999996874e+01 1.141942783735069330e-07 6.916224389965945058e-08
3.769999999999996732e+01 1.257373874157838938e-07 7.585617763273424153e-08
3.759999999999996589e+01 1.384200192884340224e-07 8.318014736732195036e-08
3.749999999999996447e+01 1.523517992440219852e-07 9.119182550747490947e-08
3.739999999999996305e+01 1.676526128627836783e-07 9.995399445403721573e-08
3.729999999999996163e+01 1.844535767901957021e-07 1.095348722755235058e-07
3.719999999999996021e+01 2.028980364151874064e-07 1.200086343523290407e-07
3.709999999999995879e+01 2.231426534088809225e-07 1.314559509060711833e-07
3.699999999999995737e+01 2.453585568414319131e-07 1.439645445476443007e-07
3.689999999999995595e+01 2.697326566133740054e-07 1.576297794202690370e-07
3.679999999999995453e+01 2.964690794373788044e-07 1.725553040844504719e-07
3.669999999999995310e+01 3.257907727252400937e-07 1.888538195127483606e-07
3.659999999999995168e+01 3.579411758880174983e-07 2.066478296720260939e-07
3.649999999999995026e+01 3.931860043966631460e-07 2.260704134656530289e-07
3.639999999999994884e+01 4.318151688659727691e-07 2.472659479902922434e-07
3.629999999999994742e+01 4.741449009442553587e-07 2.703910095012297698e-07
3.619999999999994600e+01 5.205201118422881175e-07 2.956154893165966602e-07
3.609999999999994458e+01 5.713169983351349111e-07 3.231239619257113161e-07
3.599999999999994316e+01 6.269458373263349266e-07 3.531170530960596558e-07
3.589999999999994174e+01 6.878538868089445455e-07 3.858124995232694768e-07
3.579999999999994031e+01 7.545285006074231875e-07 4.214460752329007166e-07
3.569999999999993889e+01 8.275004893694987394e-07 4.602725246098118697e-07
3.559999999999993747e+01 9.073480126186785525e-07 5.025676414706716437e-07
3.549999999999993605e+01 9.947007351626542539e-07 5.486304953734154332e-07
3.539999999999993463e+01 1.090244370793425685e-06 5.987862553316916413e-07
3.529999999999993321e+01 1.194725402989752283e-06 6.533874945777313334e-07
3.519999999999993179e+01 1.308956306506743373e-06 7.128159469773500361e-07
3.509999999999993037e+01 1.433821304575963693e-06 7.774839002678561802e-07
3.499999999999992895e+01 1.570282412732990937e-06 8.478372124603732579e-07
3.489999999999992752e+01 1.719385970472002901e-06 9.243582605751715699e-07
3.479999999999992610e+01 1.882269494410335420e-06 1.007569304413771074e-06
3.469999999999992468e+01 2.060169500653775277e-06 1.098035374990819442e-06
3.459999999999992326e+01 2.254429962848492828e-06 1.196367444541205724e-06
3.449999999999992184e+01 2.466511670684272812e-06 1.303225923902432487e-06
3.439999999999992042e+01 2.698001924204399251e-06 1.419324522454344369e-06
3.429999999999991900e+01 2.950624926709860371e-06 1.545434392879903423e-06
3.419999999999991758e+01 3.226252901974312422e-06 1.682388359080875336e-06
3.409999999999991616e+01 3.526918370441191082e-06 1.831085644026641246e-06
3.399999999999991473e+01 3.854827570632240408e-06 1.992497062247269369e-06
3.389999999999991331e+01 4.212374930541029599e-06 2.167670683695063878e-06
3.379999999999991189e+01 4.602158582448332483e-06 2.357737761797821993e-06
3.369999999999991047e+01 5.026996931823053749e-06 2.563918847413872155e-06
3.359999999999990905e+01 5.489946541536799402e-06 2.787530309491671004e-06
3.349999999999990763e+01 5.994321443575078942e-06 3.029991371450443161e-06
3.339999999999990621e+01 6.543714148546035337e-06 3.292832007947484073e-06
3.329999999999990479e+01 7.142018354767925850e-06 3.577701579961374320e-06
3.319999999999990337e+01 7.793453485242367193e-06 3.886378223343544767e-06
3.309999999999990195e+01 8.502590666061242539e-06 4.220777871476950045e-06
3.299999999999990052e+01 9.274380495443100469e-06 4.582963365613351786e-06
3.289999999999989910e+01 1.011418239719540041e-05 4.975152890377809966e-06
3.279999999999989768e+01 1.102779787264185998e-05 5.399733015823863377e-06
3.269999999999989626e+01 1.202150656120579893e-05 5.859273643342146422e-06
3.259999999999989484e+01 1.310210726305205703e-05 6.356550330569934032e-06
3.249999999999989342e+01 1.427695719511173858e-05 6.894554179424892834e-06
3.239999999999989200e+01 1.555401423332262715e-05 7.476501701413118763e-06
3.229999999999989058e+01 1.694187796602762033e-05 8.105828743320957027e-06
3.219999999999988916e+01 1.844984209999793725e-05 8.786214611554612190e-06
3.209999999999988773e+01 2.008795110022779665e-05 9.521610303995214824e-06
3.199999999999988631e+01 2.186706374439540516e-05 1.031629145801019484e-05
3.189999999999988489e+01 2.379891516869893185e-05 1.117487536213311602e-05
3.179999999999988347e+01 2.589618162817547238e-05 1.210232638586606286e-05
3.169999999999988205e+01 2.817255014577017756e-05 1.310394276849400078e-05
3.159999999999988063e+01 3.064279565757805398e-05 1.418537631245929620e-05
3.149999999999987921e+01 3.332286588052005939e-05 1.535268302604663555e-05
3.139999999999987779e+01 3.622997190538833795e-05 1.661239021385641166e-05
3.129999999999987637e+01 3.938268459533434340e-05 1.797154667467169153e-05
3.119999999999987494e+01 4.280103607893632594e-05 1.943772354526418324e-05
3.109999999999987352e+01 4.650662822491312892e-05 2.101900837682202234e-05
3.099999999999987210e+01 5.052274894539727872e-05 2.272400159486561526e-05
3.089999999999987068e+01 5.487449993659445887e-05 2.456189859916894236e-05
3.079999999999986926e+01 5.958893298566951535e-05 2.654257313600122455e-05
3.069999999999986784e+01 6.469519653854485493e-05 2.867668959040829948e-05
3.059999999999986642e+01 7.022468911014107169e-05 3.097569503318605485e-05
3.049999999999986500e+01 7.621122488257745030e-05 3.345182786141128172e-05
3.039999999999986358e+01 8.269121125049578647e-05 3.611807441462349966e-05
3.029999999999986215e+01 8.970383861150261953e-05 3.898828613435499299e-05
3.019999999999986073e+01 9.729127950231074176e-05 4.207727620573806752e-05
3.009999999999985931e+01 1.054988874949896202e-04 4.540097541150039592e-05
2.999999999999985789e+01 1.143754357068461197e-04 4.897645462454532572e-05
2.989999999999985647e+01 1.239733732427780613e-04 5.282196599170285533e-05
2.979999999999985505e+01 1.343491296330438258e-04 5.695698342043090589e-05
2.969999999999985363e+01 1.455633870129387339e-04 6.140229439346582855e-05
2.959999999999985221e+01 1.576813640417020672e-04 6.618009854587499888e-05
2.949999999999985079e+01 1.707730988051642858e-04 7.131408043426610177e-05
2.939999999999984936e+01 1.849137933659258893e-04 7.682950488836292160e-05
2.929999999999984794e+01 2.001842007265816300e-04 8.275332663837300495e-05
2.919999999999984652e+01 2.166710324654618641e-04 8.911431556683435608e-05
2.909999999999984510e+01 2.344673789934051844e-04 9.594317365548349287e-05
2.899999999999984368e+01 2.536731397934480800e-04 1.032726396294741657e-04
2.889999999999984226e+01 2.743954847095922108e-04 1.111376012538364762e-04
2.879999999999984084e+01 2.967493495919859624e-04 1.195752194260420669e-04
2.869999999999983942e+01 3.208579812518923160e-04 1.286250803385062156e-04
2.859999999999983800e+01 3.468535153234717145e-04 1.383293637444954851e-04
2.849999999999983658e+01 3.748775922404640496e-04 1.487330238417030400e-04
2.839999999999983515e+01 4.050819931736407745e-04 1.598839303463704046e-04
2.829999999999983373e+01 4.376293128802911003e-04 1.718330060986380397e-04
2.819999999999983231e+01 4.726936625718981128e-04 1.846343382759864133e-04
2.809999999999983089e+01 5.104614639766892397e-04 1.983454249683184556e-04
2.799999999999982947e+01 5.511322912281897517e-04 2.130274416491383679e-04
2.789999999999982805e+01 5.949197975959101764e-04 2.287456396747990033e-04
2.779999999999982663e+01 6.420526163307541719e-04 2.455694670586766257e-04
2.769999999999982521e+01 6.927753225600786569e-04 2.635727045396794215e-04
2.759999999999982379e+01 7.473493979730980695e-04 2.828333570391904431e-04
